combination,frequency,percentage
content_triggers|controversy_handling|general_decription|punctuation_style|value_signals,10,0.2
adaptability_signs|brevity_style|community_role|reaction_patterns|value_signals,10,0.2
conflict_approach|emotional_expression|general_decription|reaction_patterns|social_orientation,10,0.2
brevity_style|emotional_expression|identity_projection|opinion_expression|stress_indicators,10,0.2
adaptability_signs|content_triggers|emotional_expression|narrative_voice|stress_indicators,10,0.2
brevity_style|cognitive_patterns|conflict_approach|message_effectiveness|narrative_voice,10,0.2
content_triggers|controversy_handling|identity_projection|language_formality|punctuation_style,10,0.2
adaptability_signs|community_role|conflict_approach|punctuation_style|value_signals,10,0.2
content_triggers|controversy_handling|identity_projection|value_signals|vocabulary_range,10,0.2
conflict_approach|controversy_handling|language_formality|reaction_patterns|social_orientation,10,0.2
authenticity_markers|brevity_style|controversy_handling|narrative_voice|vocabulary_range,10,0.2
emotional_expression|social_orientation|stress_indicators|value_signals|vocabulary_range,10,0.2
belief_expression|content_triggers|reaction_patterns|social_orientation|value_signals,10,0.2
authenticity_markers|emotional_expression|language_formality|opinion_expression|reaction_patterns,10,0.2
authenticity_markers|belief_expression|general_decription|language_formality|value_signals,10,0.2
authenticity_markers|emotional_expression|language_formality|reaction_patterns|social_orientation,10,0.2
brevity_style|cognitive_patterns|content_triggers|general_decription|value_signals,10,0.2
brevity_style|community_role|conflict_approach|emotional_expression|stress_indicators,10,0.2
authenticity_markers|cognitive_patterns|content_triggers|emotional_expression|general_decription,10,0.2
belief_expression|controversy_handling|punctuation_style|social_orientation|value_signals,10,0.2
community_role|general_decription|message_effectiveness|stress_indicators|value_signals,10,0.2
brevity_style|community_role|identity_projection|opinion_expression|social_orientation,10,0.2
controversy_handling|general_decription|stress_indicators|value_signals|vocabulary_range,10,0.2
adaptability_signs|brevity_style|cognitive_patterns|message_effectiveness|value_signals,10,0.2
authenticity_markers|belief_expression|brevity_style|controversy_handling|language_formality,10,0.2
controversy_handling|general_decription|language_formality|message_effectiveness|narrative_voice,10,0.2
controversy_handling|language_formality|message_effectiveness|social_orientation|vocabulary_range,10,0.2
authenticity_markers|controversy_handling|narrative_voice|reaction_patterns|social_orientation,10,0.2
community_role|identity_projection|punctuation_style|stress_indicators|value_signals,10,0.2
belief_expression|controversy_handling|identity_projection|narrative_voice|stress_indicators,10,0.2
adaptability_signs|identity_projection|language_formality|opinion_expression|reaction_patterns,10,0.2
brevity_style|content_triggers|identity_projection|opinion_expression|vocabulary_range,10,0.2
belief_expression|brevity_style|opinion_expression|value_signals|vocabulary_range,10,0.2
adaptability_signs|brevity_style|social_orientation|stress_indicators|vocabulary_range,10,0.2
belief_expression|cognitive_patterns|community_role|general_decription|vocabulary_range,10,0.2
cognitive_patterns|community_role|conflict_approach|general_decription|reaction_patterns,10,0.2
adaptability_signs|content_triggers|controversy_handling|message_effectiveness|stress_indicators,10,0.2
adaptability_signs|controversy_handling|narrative_voice|opinion_expression|vocabulary_range,10,0.2
belief_expression|brevity_style|cognitive_patterns|conflict_approach|narrative_voice,10,0.2
belief_expression|brevity_style|identity_projection|opinion_expression|stress_indicators,10,0.2
authenticity_markers|brevity_style|community_role|identity_projection|message_effectiveness,10,0.2
authenticity_markers|belief_expression|brevity_style|general_decription|identity_projection,10,0.2
controversy_handling|identity_projection|language_formality|message_effectiveness|reaction_patterns,10,0.2
brevity_style|controversy_handling|social_orientation|stress_indicators|value_signals,10,0.2
adaptability_signs|authenticity_markers|belief_expression|identity_projection|punctuation_style,10,0.2
belief_expression|controversy_handling|emotional_expression|opinion_expression|stress_indicators,10,0.2
brevity_style|conflict_approach|controversy_handling|general_decription|stress_indicators,10,0.2
brevity_style|identity_projection|language_formality|message_effectiveness|social_orientation,10,0.2
authenticity_markers|cognitive_patterns|conflict_approach|message_effectiveness|value_signals,10,0.2
cognitive_patterns|language_formality|stress_indicators|value_signals|vocabulary_range,10,0.2
adaptability_signs|controversy_handling|general_decription|language_formality|message_effectiveness,10,0.2
cognitive_patterns|controversy_handling|punctuation_style|social_orientation|value_signals,10,0.2
adaptability_signs|authenticity_markers|community_role|message_effectiveness|punctuation_style,10,0.2
content_triggers|general_decription|message_effectiveness|stress_indicators|vocabulary_range,10,0.2
cognitive_patterns|general_decription|message_effectiveness|narrative_voice|reaction_patterns,10,0.2
community_role|controversy_handling|language_formality|opinion_expression|punctuation_style,10,0.2
adaptability_signs|brevity_style|cognitive_patterns|general_decription|narrative_voice,10,0.2
brevity_style|controversy_handling|language_formality|reaction_patterns|value_signals,10,0.2
message_effectiveness|punctuation_style|social_orientation|stress_indicators|value_signals,10,0.2
brevity_style|content_triggers|emotional_expression|opinion_expression|stress_indicators,10,0.2
adaptability_signs|belief_expression|community_role|reaction_patterns|social_orientation,10,0.2
authenticity_markers|language_formality|narrative_voice|stress_indicators|value_signals,10,0.2
belief_expression|content_triggers|narrative_voice|reaction_patterns|social_orientation,10,0.2
authenticity_markers|cognitive_patterns|conflict_approach|content_triggers|vocabulary_range,10,0.2
adaptability_signs|cognitive_patterns|emotional_expression|narrative_voice|stress_indicators,10,0.2
adaptability_signs|conflict_approach|controversy_handling|language_formality|narrative_voice,10,0.2
belief_expression|identity_projection|reaction_patterns|social_orientation|value_signals,10,0.2
adaptability_signs|belief_expression|controversy_handling|emotional_expression|opinion_expression,10,0.2
emotional_expression|general_decription|language_formality|narrative_voice|stress_indicators,10,0.2
brevity_style|language_formality|message_effectiveness|punctuation_style|value_signals,10,0.2
cognitive_patterns|emotional_expression|opinion_expression|reaction_patterns|vocabulary_range,10,0.2
cognitive_patterns|conflict_approach|opinion_expression|reaction_patterns|vocabulary_range,10,0.2
authenticity_markers|brevity_style|cognitive_patterns|punctuation_style|reaction_patterns,10,0.2
conflict_approach|narrative_voice|reaction_patterns|social_orientation|value_signals,10,0.2
belief_expression|conflict_approach|emotional_expression|opinion_expression|stress_indicators,10,0.2
brevity_style|general_decription|language_formality|narrative_voice|reaction_patterns,10,0.2
cognitive_patterns|conflict_approach|message_effectiveness|punctuation_style|vocabulary_range,10,0.2
cognitive_patterns|community_role|content_triggers|language_formality|narrative_voice,10,0.2
brevity_style|community_role|emotional_expression|language_formality|reaction_patterns,10,0.2
authenticity_markers|cognitive_patterns|community_role|message_effectiveness|social_orientation,10,0.2
brevity_style|emotional_expression|message_effectiveness|narrative_voice|vocabulary_range,10,0.2
belief_expression|brevity_style|identity_projection|opinion_expression|reaction_patterns,10,0.2
authenticity_markers|content_triggers|identity_projection|value_signals|vocabulary_range,10,0.2
adaptability_signs|brevity_style|identity_projection|language_formality|vocabulary_range,10,0.2
brevity_style|cognitive_patterns|emotional_expression|general_decription|opinion_expression,10,0.2
authenticity_markers|community_role|reaction_patterns|social_orientation|value_signals,10,0.2
cognitive_patterns|identity_projection|message_effectiveness|punctuation_style|value_signals,10,0.2
adaptability_signs|authenticity_markers|belief_expression|conflict_approach|vocabulary_range,10,0.2
cognitive_patterns|conflict_approach|message_effectiveness|stress_indicators|vocabulary_range,10,0.2
conflict_approach|opinion_expression|punctuation_style|reaction_patterns|stress_indicators,10,0.2
adaptability_signs|brevity_style|content_triggers|emotional_expression|language_formality,10,0.2
authenticity_markers|brevity_style|community_role|narrative_voice|opinion_expression,10,0.2
belief_expression|brevity_style|conflict_approach|emotional_expression|stress_indicators,10,0.2
brevity_style|controversy_handling|emotional_expression|language_formality|stress_indicators,10,0.2
authenticity_markers|content_triggers|language_formality|message_effectiveness|reaction_patterns,10,0.2
authenticity_markers|community_role|language_formality|message_effectiveness|narrative_voice,10,0.2
authenticity_markers|belief_expression|identity_projection|reaction_patterns|social_orientation,10,0.2
brevity_style|content_triggers|general_decription|narrative_voice|social_orientation,10,0.2
authenticity_markers|belief_expression|general_decription|narrative_voice|opinion_expression,10,0.2
authenticity_markers|brevity_style|community_role|language_formality|opinion_expression,10,0.2
community_role|conflict_approach|content_triggers|emotional_expression|message_effectiveness,10,0.2
belief_expression|cognitive_patterns|conflict_approach|language_formality|narrative_voice,10,0.2
controversy_handling|identity_projection|narrative_voice|punctuation_style|value_signals,10,0.2
brevity_style|cognitive_patterns|community_role|controversy_handling|punctuation_style,10,0.2
cognitive_patterns|language_formality|punctuation_style|stress_indicators|value_signals,10,0.2
belief_expression|content_triggers|emotional_expression|opinion_expression|value_signals,10,0.2
adaptability_signs|brevity_style|controversy_handling|general_decription|opinion_expression,10,0.2
brevity_style|content_triggers|controversy_handling|identity_projection|narrative_voice,10,0.2
authenticity_markers|language_formality|message_effectiveness|opinion_expression|value_signals,10,0.2
adaptability_signs|authenticity_markers|community_role|conflict_approach|punctuation_style,10,0.2
brevity_style|cognitive_patterns|message_effectiveness|narrative_voice|stress_indicators,10,0.2
adaptability_signs|authenticity_markers|emotional_expression|general_decription|message_effectiveness,10,0.2
authenticity_markers|cognitive_patterns|emotional_expression|narrative_voice|reaction_patterns,10,0.2
authenticity_markers|belief_expression|controversy_handling|narrative_voice|vocabulary_range,10,0.2
content_triggers|controversy_handling|narrative_voice|value_signals|vocabulary_range,10,0.2
adaptability_signs|authenticity_markers|brevity_style|community_role|punctuation_style,10,0.2
adaptability_signs|cognitive_patterns|identity_projection|social_orientation|value_signals,10,0.2
belief_expression|cognitive_patterns|community_role|narrative_voice|reaction_patterns,10,0.2
cognitive_patterns|conflict_approach|controversy_handling|message_effectiveness|vocabulary_range,10,0.2
controversy_handling|emotional_expression|language_formality|punctuation_style|stress_indicators,10,0.2
authenticity_markers|conflict_approach|content_triggers|general_decription|language_formality,10,0.2
authenticity_markers|conflict_approach|general_decription|identity_projection|narrative_voice,10,0.2
brevity_style|conflict_approach|general_decription|social_orientation|vocabulary_range,10,0.2
conflict_approach|message_effectiveness|stress_indicators|value_signals|vocabulary_range,10,0.2
authenticity_markers|language_formality|opinion_expression|punctuation_style|value_signals,10,0.2
belief_expression|cognitive_patterns|emotional_expression|identity_projection|vocabulary_range,10,0.2
belief_expression|brevity_style|conflict_approach|general_decription|opinion_expression,10,0.2
community_role|identity_projection|narrative_voice|opinion_expression|value_signals,10,0.2
adaptability_signs|controversy_handling|emotional_expression|identity_projection|reaction_patterns,10,0.2
belief_expression|brevity_style|social_orientation|stress_indicators|vocabulary_range,10,0.2
authenticity_markers|content_triggers|emotional_expression|identity_projection|reaction_patterns,10,0.2
belief_expression|emotional_expression|language_formality|narrative_voice|punctuation_style,10,0.2
belief_expression|brevity_style|controversy_handling|stress_indicators|value_signals,10,0.2
brevity_style|cognitive_patterns|emotional_expression|reaction_patterns|vocabulary_range,10,0.2
cognitive_patterns|community_role|narrative_voice|punctuation_style|social_orientation,10,0.2
authenticity_markers|conflict_approach|narrative_voice|opinion_expression|reaction_patterns,10,0.2
adaptability_signs|cognitive_patterns|controversy_handling|narrative_voice|punctuation_style,10,0.2
cognitive_patterns|conflict_approach|narrative_voice|value_signals|vocabulary_range,10,0.2
adaptability_signs|belief_expression|controversy_handling|emotional_expression|identity_projection,10,0.2
adaptability_signs|community_role|narrative_voice|opinion_expression|value_signals,10,0.2
content_triggers|language_formality|opinion_expression|reaction_patterns|stress_indicators,10,0.2
cognitive_patterns|content_triggers|general_decription|language_formality|message_effectiveness,10,0.2
language_formality|narrative_voice|punctuation_style|stress_indicators|vocabulary_range,10,0.2
cognitive_patterns|language_formality|opinion_expression|social_orientation|stress_indicators,10,0.2
content_triggers|language_formality|narrative_voice|punctuation_style|social_orientation,10,0.2
cognitive_patterns|community_role|reaction_patterns|value_signals|vocabulary_range,10,0.2
adaptability_signs|content_triggers|emotional_expression|identity_projection|opinion_expression,10,0.2
authenticity_markers|content_triggers|message_effectiveness|punctuation_style|social_orientation,10,0.2
adaptability_signs|content_triggers|identity_projection|language_formality|vocabulary_range,10,0.2
community_role|language_formality|punctuation_style|reaction_patterns|stress_indicators,10,0.2
adaptability_signs|belief_expression|general_decription|stress_indicators|value_signals,10,0.2
content_triggers|opinion_expression|punctuation_style|reaction_patterns|social_orientation,10,0.2
adaptability_signs|brevity_style|social_orientation|stress_indicators|value_signals,10,0.2
adaptability_signs|authenticity_markers|emotional_expression|message_effectiveness|social_orientation,10,0.2
belief_expression|controversy_handling|opinion_expression|punctuation_style|stress_indicators,10,0.2
brevity_style|cognitive_patterns|general_decription|identity_projection|value_signals,10,0.2
adaptability_signs|content_triggers|opinion_expression|punctuation_style|social_orientation,10,0.2
brevity_style|community_role|conflict_approach|narrative_voice|stress_indicators,10,0.2
adaptability_signs|content_triggers|controversy_handling|language_formality|message_effectiveness,10,0.2
controversy_handling|identity_projection|language_formality|message_effectiveness|value_signals,10,0.2
adaptability_signs|brevity_style|message_effectiveness|narrative_voice|vocabulary_range,10,0.2
emotional_expression|general_decription|punctuation_style|stress_indicators|value_signals,10,0.2
authenticity_markers|cognitive_patterns|language_formality|social_orientation|stress_indicators,10,0.2
content_triggers|controversy_handling|identity_projection|punctuation_style|value_signals,10,0.2
cognitive_patterns|content_triggers|identity_projection|punctuation_style|social_orientation,10,0.2
brevity_style|identity_projection|social_orientation|value_signals|vocabulary_range,10,0.2
authenticity_markers|belief_expression|language_formality|message_effectiveness|stress_indicators,10,0.2
adaptability_signs|general_decription|language_formality|reaction_patterns|value_signals,10,0.2
brevity_style|conflict_approach|general_decription|social_orientation|value_signals,10,0.2
authenticity_markers|belief_expression|opinion_expression|reaction_patterns|value_signals,10,0.2
authenticity_markers|cognitive_patterns|content_triggers|message_effectiveness|social_orientation,10,0.2
adaptability_signs|cognitive_patterns|message_effectiveness|reaction_patterns|value_signals,10,0.2
brevity_style|cognitive_patterns|opinion_expression|social_orientation|value_signals,10,0.2
community_role|general_decription|language_formality|narrative_voice|stress_indicators,10,0.2
authenticity_markers|content_triggers|controversy_handling|emotional_expression|social_orientation,10,0.2
conflict_approach|identity_projection|language_formality|social_orientation|vocabulary_range,10,0.2
belief_expression|cognitive_patterns|controversy_handling|general_decription|stress_indicators,10,0.2
belief_expression|cognitive_patterns|language_formality|punctuation_style|vocabulary_range,10,0.2
adaptability_signs|cognitive_patterns|content_triggers|social_orientation|vocabulary_range,10,0.2
adaptability_signs|community_role|language_formality|message_effectiveness|reaction_patterns,10,0.2
cognitive_patterns|controversy_handling|message_effectiveness|opinion_expression|punctuation_style,10,0.2
community_role|content_triggers|emotional_expression|identity_projection|message_effectiveness,10,0.2
community_role|conflict_approach|general_decription|opinion_expression|stress_indicators,10,0.2
authenticity_markers|narrative_voice|punctuation_style|value_signals|vocabulary_range,10,0.2
belief_expression|community_role|narrative_voice|social_orientation|vocabulary_range,10,0.2
controversy_handling|general_decription|identity_projection|opinion_expression|value_signals,10,0.2
emotional_expression|opinion_expression|social_orientation|value_signals|vocabulary_range,10,0.2
general_decription|language_formality|opinion_expression|reaction_patterns|stress_indicators,10,0.2
belief_expression|brevity_style|language_formality|narrative_voice|value_signals,10,0.2
adaptability_signs|cognitive_patterns|conflict_approach|punctuation_style|vocabulary_range,10,0.2
cognitive_patterns|content_triggers|general_decription|message_effectiveness|value_signals,10,0.2
adaptability_signs|general_decription|narrative_voice|opinion_expression|social_orientation,10,0.2
authenticity_markers|belief_expression|emotional_expression|identity_projection|reaction_patterns,10,0.2
conflict_approach|controversy_handling|general_decription|message_effectiveness|opinion_expression,10,0.2
authenticity_markers|general_decription|social_orientation|stress_indicators|value_signals,10,0.2
brevity_style|content_triggers|message_effectiveness|reaction_patterns|value_signals,10,0.2
community_role|conflict_approach|general_decription|reaction_patterns|stress_indicators,10,0.2
adaptability_signs|conflict_approach|narrative_voice|social_orientation|vocabulary_range,10,0.2
belief_expression|cognitive_patterns|conflict_approach|emotional_expression|identity_projection,10,0.2
adaptability_signs|cognitive_patterns|community_role|language_formality|reaction_patterns,10,0.2
content_triggers|emotional_expression|message_effectiveness|narrative_voice|stress_indicators,10,0.2
authenticity_markers|conflict_approach|content_triggers|general_decription|punctuation_style,10,0.2
authenticity_markers|community_role|language_formality|opinion_expression|stress_indicators,10,0.2
cognitive_patterns|general_decription|narrative_voice|punctuation_style|reaction_patterns,10,0.2
belief_expression|community_role|message_effectiveness|punctuation_style|reaction_patterns,10,0.2
community_role|general_decription|language_formality|punctuation_style|value_signals,10,0.2
content_triggers|language_formality|narrative_voice|punctuation_style|value_signals,10,0.2
adaptability_signs|belief_expression|opinion_expression|punctuation_style|value_signals,10,0.2
authenticity_markers|controversy_handling|language_formality|message_effectiveness|vocabulary_range,10,0.2
authenticity_markers|conflict_approach|identity_projection|stress_indicators|value_signals,10,0.2
adaptability_signs|authenticity_markers|conflict_approach|message_effectiveness|opinion_expression,10,0.2
cognitive_patterns|content_triggers|language_formality|narrative_voice|opinion_expression,10,0.2
brevity_style|conflict_approach|controversy_handling|punctuation_style|value_signals,10,0.2
cognitive_patterns|conflict_approach|controversy_handling|language_formality|reaction_patterns,10,0.2
adaptability_signs|cognitive_patterns|conflict_approach|emotional_expression|punctuation_style,10,0.2
adaptability_signs|cognitive_patterns|message_effectiveness|stress_indicators|value_signals,10,0.2
belief_expression|brevity_style|punctuation_style|reaction_patterns|social_orientation,10,0.2
brevity_style|cognitive_patterns|community_role|reaction_patterns|stress_indicators,10,0.2
brevity_style|cognitive_patterns|emotional_expression|message_effectiveness|value_signals,10,0.2
cognitive_patterns|community_role|general_decription|reaction_patterns|value_signals,10,0.2
brevity_style|content_triggers|opinion_expression|reaction_patterns|social_orientation,10,0.2
adaptability_signs|brevity_style|punctuation_style|reaction_patterns|value_signals,10,0.2
brevity_style|content_triggers|controversy_handling|stress_indicators|vocabulary_range,10,0.2
cognitive_patterns|message_effectiveness|punctuation_style|stress_indicators|vocabulary_range,10,0.2
brevity_style|emotional_expression|general_decription|identity_projection|punctuation_style,10,0.2
conflict_approach|general_decription|language_formality|punctuation_style|stress_indicators,10,0.2
adaptability_signs|authenticity_markers|controversy_handling|narrative_voice|vocabulary_range,10,0.2
authenticity_markers|cognitive_patterns|controversy_handling|narrative_voice|stress_indicators,10,0.2
general_decription|narrative_voice|punctuation_style|stress_indicators|vocabulary_range,10,0.2
adaptability_signs|community_role|identity_projection|message_effectiveness|narrative_voice,10,0.2
adaptability_signs|belief_expression|emotional_expression|identity_projection|language_formality,10,0.2
authenticity_markers|belief_expression|community_role|conflict_approach|controversy_handling,10,0.2
belief_expression|community_role|message_effectiveness|narrative_voice|reaction_patterns,10,0.2
belief_expression|conflict_approach|controversy_handling|identity_projection|stress_indicators,10,0.2
cognitive_patterns|community_role|controversy_handling|punctuation_style|value_signals,10,0.2
authenticity_markers|content_triggers|language_formality|message_effectiveness|stress_indicators,10,0.2
cognitive_patterns|conflict_approach|identity_projection|narrative_voice|social_orientation,10,0.2
content_triggers|emotional_expression|opinion_expression|reaction_patterns|vocabulary_range,10,0.2
conflict_approach|content_triggers|identity_projection|stress_indicators|vocabulary_range,10,0.2
brevity_style|community_role|content_triggers|general_decription|language_formality,10,0.2
conflict_approach|emotional_expression|opinion_expression|punctuation_style|vocabulary_range,10,0.2
belief_expression|conflict_approach|opinion_expression|stress_indicators|vocabulary_range,10,0.2
adaptability_signs|brevity_style|cognitive_patterns|message_effectiveness|punctuation_style,10,0.2
emotional_expression|identity_projection|language_formality|message_effectiveness|social_orientation,10,0.2
adaptability_signs|identity_projection|narrative_voice|social_orientation|vocabulary_range,10,0.2
adaptability_signs|brevity_style|community_role|controversy_handling|opinion_expression,10,0.2
controversy_handling|language_formality|opinion_expression|value_signals|vocabulary_range,10,0.2
community_role|identity_projection|message_effectiveness|opinion_expression|reaction_patterns,10,0.2
