combination_id,similarity_scores_mean,similarity_scores_std,similarity_scores_count,similarity_scores_relative,rouge1_fmeasure_mean,rouge1_fmeasure_std,rouge1_fmeasure_count,rouge1_fmeasure_relative,rouge1_recall_mean,rouge1_recall_std,rouge1_recall_count,rouge1_recall_relative,rouge1_precision_mean,rouge1_precision_std,rouge1_precision_count,rouge1_precision_relative,rouge2_fmeasure_mean,rouge2_fmeasure_std,rouge2_fmeasure_count,rouge2_fmeasure_relative,rouge2_recall_mean,rouge2_recall_std,rouge2_recall_count,rouge2_recall_relative,rouge2_precision_mean,rouge2_precision_std,rouge2_precision_count,rouge2_precision_relative,rougel_fmeasure_mean,rougel_fmeasure_std,rougel_fmeasure_count,rougel_fmeasure_relative,rougel_recall_mean,rougel_recall_std,rougel_recall_count,rougel_recall_relative,rougel_precision_mean,rougel_precision_std,rougel_precision_count,rougel_precision_relative,rouge_avg_impact
adaptability_signs|authenticity_markers|brevity_style|community_role|emotional_expression,0.7211,0.1011,2,-0.0452,0.162,0.1244,2,-0.049,0.1985,0.1318,2,-0.1451,0.1379,0.1143,2,-0.0315,0.037,0.0524,2,-0.0191,0.0435,0.0615,2,-0.051,0.0323,0.0456,2,-0.0122,0.1257,0.1253,2,-0.0251,0.1513,0.1396,2,-0.0996,0.108,0.1124,2,-0.0123,-0.031066666666666663
adaptability_signs|authenticity_markers|brevity_style|community_role|general_decription,0.7232,0.1144,2,-0.0431,0.1408,0.0541,2,-0.0702,0.2733,0.0176,2,-0.0703,0.0994,0.0522,2,-0.07,0.0,0.0,2,-0.0561,0.0,0.0,2,-0.0945,0.0,0.0,2,-0.0445,0.0853,0.0482,2,-0.0655,0.1584,0.022,2,-0.0925,0.0611,0.0422,2,-0.0592,-0.06393333333333333
adaptability_signs|authenticity_markers|brevity_style|community_role|punctuation_style,0.8239,0.032,2,0.0576,0.3384,0.0585,2,0.1274,0.3527,0.0745,2,0.0091,0.3256,0.0446,2,0.1562,0.1082,0.0673,2,0.0521,0.1139,0.0746,2,0.0194,0.1032,0.0611,2,0.0587,0.1607,0.0592,2,0.0099,0.1681,0.068,2,-0.0828,0.1541,0.0515,2,0.0338,0.06313333333333333
adaptability_signs|authenticity_markers|brevity_style|content_triggers|stress_indicators,0.8087,0.0511,2,0.0424,0.2848,0.0776,2,0.0738,0.2962,0.1114,2,-0.0474,0.2771,0.047,2,0.1077,0.0824,0.0499,2,0.0263,0.0874,0.0608,2,-0.0071,0.0786,0.0404,2,0.0341,0.1707,0.0788,2,0.0199,0.1793,0.0999,2,-0.0716,0.1644,0.0601,2,0.0441,0.04
adaptability_signs|authenticity_markers|brevity_style|content_triggers|vocabulary_range,0.7871,0.0228,2,0.0208,0.1911,0.0009,2,-0.0199,0.2262,0.0842,2,-0.1174,0.1843,0.0587,2,0.0149,0.0532,0.0045,2,-0.0029,0.0629,0.0199,2,-0.0316,0.0519,0.021,2,0.0074,0.1262,0.0235,2,-0.0246,0.1548,0.0842,2,-0.0961,0.1181,0.0155,2,-0.0022,-0.015799999999999998
adaptability_signs|authenticity_markers|brevity_style|controversy_handling|message_effectiveness,0.8001,0.0514,2,0.0338,0.1897,0.1039,2,-0.0213,0.3681,0.3634,2,0.0245,0.1443,0.0316,2,-0.0251,0.0397,0.0224,2,-0.0164,0.0828,0.0849,2,-0.0117,0.0297,0.0067,2,-0.0148,0.1518,0.0831,2,0.001,0.2944,0.2907,2,0.0435,0.1154,0.0253,2,-0.0049,-0.012233333333333332
adaptability_signs|authenticity_markers|brevity_style|controversy_handling|narrative_voice,0.8074,0.0111,2,0.0411,0.2619,0.059,2,0.0509,0.3356,0.016,2,-0.008,0.2183,0.073,2,0.0489,0.0369,0.0007,2,-0.0192,0.0486,0.0098,2,-0.0459,0.0302,0.0029,2,-0.0143,0.1805,0.0477,2,0.0297,0.2306,0.0203,2,-0.0203,0.1508,0.0561,2,0.0305,0.02046666666666667
adaptability_signs|authenticity_markers|brevity_style|emotional_expression|message_effectiveness,0.8415,0.0206,2,0.0752,0.4318,0.0964,2,0.2208,0.4567,0.1156,2,0.1131,0.4098,0.0804,2,0.2404,0.1092,0.0632,2,0.0531,0.1167,0.0707,2,0.0222,0.1027,0.0568,2,0.0582,0.4318,0.0964,2,0.281,0.4567,0.1156,2,0.2058,0.4098,0.0804,2,0.2895,0.18496666666666664
adaptability_signs|authenticity_markers|brevity_style|general_decription|message_effectiveness,0.827,0.0274,2,0.0607,0.3223,0.0518,2,0.1113,0.5411,0.3348,2,0.1975,0.2513,0.0254,2,0.0819,0.0696,0.022,2,0.0135,0.108,0.0241,2,0.0135,0.0572,0.0322,2,0.0127,0.225,0.0281,2,0.0742,0.3527,0.1298,2,0.1018,0.1821,0.0689,2,0.0618,0.06633333333333334
adaptability_signs|authenticity_markers|brevity_style|general_decription|vocabulary_range,0.6734,0.0993,2,-0.0929,0.2369,0.0276,2,0.0259,0.2649,0.0673,2,-0.0787,0.2174,0.0,2,0.048,0.027,0.0382,2,-0.0291,0.0333,0.0471,2,-0.0612,0.0227,0.0321,2,-0.0218,0.1204,0.0473,2,-0.0304,0.1372,0.0711,2,-0.1137,0.1087,0.0307,2,-0.0116,-0.011200000000000002
adaptability_signs|authenticity_markers|brevity_style|identity_projection|message_effectiveness,0.8178,0.0059,2,0.0515,0.3429,0.0808,2,0.1319,0.2792,0.0606,2,-0.0644,0.4444,0.1179,2,0.275,0.152,0.1196,2,0.0959,0.1226,0.0948,2,0.0281,0.2,0.1616,2,0.1555,0.3209,0.1119,2,0.1701,0.261,0.0863,2,0.0101,0.4167,0.1571,2,0.2964,0.13263333333333335
adaptability_signs|authenticity_markers|brevity_style|language_formality|social_orientation,0.8352,0.0196,2,0.0689,0.1419,0.039,2,-0.0691,0.1288,0.0617,2,-0.2148,0.1703,0.0051,2,0.0009,0.0526,0.0744,2,-0.0035,0.0536,0.0758,2,-0.0409,0.0517,0.0731,2,0.0072,0.1419,0.039,2,-0.0089,0.1288,0.0617,2,-0.1221,0.1703,0.0051,2,0.05,-0.02716666666666667
adaptability_signs|authenticity_markers|brevity_style|narrative_voice|punctuation_style,0.7785,0.1781,2,0.0122,0.4071,0.1668,2,0.1961,0.4114,0.2208,2,0.0678,0.4109,0.1096,2,0.2415,0.1652,0.1289,2,0.1091,0.1715,0.1503,2,0.077,0.1619,0.1077,2,0.1174,0.2093,0.0575,2,0.0585,0.2096,0.0858,2,-0.0413,0.2135,0.027,2,0.0932,0.12123333333333335
adaptability_signs|authenticity_markers|brevity_style|opinion_expression|stress_indicators,0.7724,0.031,2,0.0061,0.2158,0.0315,2,0.0048,0.3155,0.1966,2,-0.0281,0.1878,0.0375,2,0.0184,0.075,0.1061,2,0.0189,0.15,0.2121,2,0.0555,0.05,0.0707,2,0.0055,0.1836,0.0771,2,0.0328,0.2861,0.2382,2,0.0352,0.1521,0.013,2,0.0318,0.018833333333333334
adaptability_signs|authenticity_markers|brevity_style|reaction_patterns|stress_indicators,0.7711,0.0556,2,0.0048,0.1827,0.088,2,-0.0283,0.3233,0.2216,2,-0.0203,0.1294,0.0495,2,-0.04,0.0521,0.0737,2,-0.004,0.1042,0.1473,2,0.0097,0.0347,0.0491,2,-0.0098,0.1076,0.0499,2,-0.0432,0.19,0.1273,2,-0.0609,0.0762,0.0278,2,-0.0441,-0.025166666666666667
adaptability_signs|authenticity_markers|brevity_style|social_orientation|vocabulary_range,0.7463,0.0154,2,-0.02,0.2227,0.1565,2,0.0117,0.2888,0.2104,2,-0.0548,0.1813,0.1244,2,0.0119,0.0403,0.057,2,-0.0158,0.0532,0.0752,2,-0.0413,0.0325,0.0459,2,-0.012,0.1432,0.0893,2,-0.0076,0.1854,0.1208,2,-0.0655,0.1167,0.0707,2,-0.0036,-0.0039000000000000007
adaptability_signs|authenticity_markers|cognitive_patterns|community_role|value_signals,0.6773,0.041,2,-0.089,0.1607,0.1644,2,-0.0503,0.276,0.1883,2,-0.0676,0.1178,0.1294,2,-0.0516,0.0476,0.0673,2,-0.0085,0.0714,0.101,2,-0.0231,0.0357,0.0505,2,-0.0088,0.0991,0.0774,2,-0.0517,0.1851,0.0597,2,-0.0658,0.0713,0.0636,2,-0.049,-0.036833333333333336
adaptability_signs|authenticity_markers|cognitive_patterns|conflict_approach|message_effectiveness,0.668,0.0334,2,-0.0983,0.1865,0.0897,2,-0.0245,0.2355,0.0974,2,-0.1081,0.1548,0.081,2,-0.0146,0.037,0.0524,2,-0.0191,0.0455,0.0643,2,-0.049,0.0312,0.0442,2,-0.0133,0.1354,0.061,2,-0.0154,0.1712,0.0653,2,-0.0797,0.1123,0.0554,2,-0.008,-0.019666666666666666
adaptability_signs|authenticity_markers|cognitive_patterns|conflict_approach|reaction_patterns,0.8221,0.0072,2,0.0558,0.284,0.0277,2,0.073,0.3439,0.0055,2,0.0003,0.2438,0.043,2,0.0744,0.0791,0.0167,2,0.023,0.0955,0.0093,2,0.001,0.068,0.0197,2,0.0235,0.1739,0.0823,2,0.0231,0.2061,0.0762,2,-0.0448,0.1515,0.0823,2,0.0312,0.0397
adaptability_signs|authenticity_markers|cognitive_patterns|content_triggers|opinion_expression,0.8061,0.0417,2,0.0398,0.2209,0.0078,2,0.0099,0.5632,0.4157,2,0.2196,0.155,0.0347,2,-0.0144,0.0906,0.0383,2,0.0345,0.29,0.297,2,0.1955,0.0596,0.0099,2,0.0151,0.1524,0.0021,2,0.0016,0.3819,0.2681,2,0.131,0.1076,0.0292,2,-0.0127,0.015333333333333332
adaptability_signs|authenticity_markers|cognitive_patterns|content_triggers|value_signals,0.8114,0.049,2,0.0451,0.1586,0.0283,2,-0.0524,0.3229,0.0147,2,-0.0207,0.1062,0.0265,2,-0.0632,0.0283,0.0114,2,-0.0278,0.0573,0.0103,2,-0.0372,0.019,0.009,2,-0.0255,0.1308,0.017,2,-0.02,0.2679,0.0253,2,0.017,0.0875,0.0177,2,-0.0328,-0.0334
adaptability_signs|authenticity_markers|cognitive_patterns|content_triggers|vocabulary_range,0.7073,0.0085,2,-0.059,0.11,0.0234,2,-0.101,0.2025,0.1555,2,-0.1411,0.0869,0.0106,2,-0.0825,0.0,0.0,2,-0.0561,0.0,0.0,2,-0.0945,0.0,0.0,2,-0.0445,0.088,0.0187,2,-0.0628,0.162,0.1244,2,-0.0889,0.0695,0.0085,2,-0.0508,-0.0733
adaptability_signs|authenticity_markers|cognitive_patterns|controversy_handling|identity_projection,0.8075,0.0485,4,0.0412,0.3712,0.1137,4,0.1602,0.5344,0.2268,4,0.1908,0.2956,0.0788,4,0.1262,0.1711,0.1025,4,0.115,0.2645,0.1757,4,0.17,0.1306,0.0774,4,0.0861,0.2552,0.1139,4,0.1044,0.362,0.1797,4,0.1111,0.204,0.085,4,0.0837,0.12653333333333333
adaptability_signs|authenticity_markers|cognitive_patterns|emotional_expression|narrative_voice,0.8666,0.0238,2,0.1003,0.5515,0.2014,2,0.3405,0.7003,0.0113,2,0.3567,0.4852,0.2755,2,0.3158,0.3506,0.2264,2,0.2945,0.4275,0.1332,2,0.333,0.3167,0.2593,2,0.2722,0.5288,0.2335,2,0.378,0.6619,0.0657,2,0.411,0.469,0.2984,2,0.3487,0.3376666666666666
adaptability_signs|authenticity_markers|cognitive_patterns|emotional_expression|opinion_expression,0.8008,0.0274,2,0.0345,0.2383,0.036,2,0.0273,0.286,0.1098,2,-0.0576,0.2121,0.0074,2,0.0427,0.0551,0.0143,2,-0.001,0.0632,0.0009,2,-0.0313,0.0509,0.0223,2,0.0064,0.1298,0.003,2,-0.021,0.1534,0.0402,2,-0.0975,0.1169,0.0191,2,-0.0034,0.0017666666666666664
adaptability_signs|authenticity_markers|cognitive_patterns|emotional_expression|vocabulary_range,0.7789,0.058,4,0.0126,0.2226,0.1034,4,0.0116,0.26,0.1219,4,-0.0836,0.2013,0.0931,4,0.0319,0.034,0.0267,4,-0.0221,0.036,0.0252,4,-0.0585,0.0335,0.0301,4,-0.011,0.142,0.0498,4,-0.0088,0.1633,0.0458,4,-0.0876,0.1311,0.0588,4,0.0108,-0.006433333333333335
adaptability_signs|authenticity_markers|cognitive_patterns|general_decription|identity_projection,0.8333,0.0307,2,0.067,0.3707,0.01,2,0.1597,0.4454,0.0435,2,0.1018,0.3205,0.0374,2,0.1511,0.1589,0.0646,2,0.1028,0.1875,0.053,2,0.093,0.1392,0.0683,2,0.0947,0.2495,0.0071,2,0.0987,0.3008,0.046,2,0.0499,0.2152,0.0132,2,0.0949,0.12040000000000001
adaptability_signs|authenticity_markers|cognitive_patterns|general_decription|language_formality,0.7816,0.0387,2,0.0153,0.2822,0.005,2,0.0712,0.3733,0.0908,2,0.0297,0.2329,0.0294,2,0.0635,0.05,0.0471,2,-0.0061,0.0738,0.0781,2,-0.0207,0.0383,0.0328,2,-0.0062,0.1922,0.0168,2,0.0414,0.2562,0.0795,2,0.0053,0.1578,0.009,2,0.0375,0.035500000000000004
adaptability_signs|authenticity_markers|cognitive_patterns|general_decription|opinion_expression,0.7813,0.0272,2,0.015,0.1607,0.0253,2,-0.0503,0.2525,0.0357,2,-0.0911,0.1179,0.0194,2,-0.0515,0.0147,0.0208,2,-0.0414,0.0238,0.0337,2,-0.0707,0.0106,0.015,2,-0.0339,0.1107,0.0051,2,-0.0401,0.1742,0.0107,2,-0.0767,0.0811,0.0031,2,-0.0392,-0.04393333333333333
adaptability_signs|authenticity_markers|cognitive_patterns|general_decription|stress_indicators,0.7441,0.0402,2,-0.0222,0.1631,0.0236,2,-0.0479,0.3267,0.0094,2,-0.0169,0.1094,0.0221,2,-0.06,0.0115,0.0163,2,-0.0446,0.0208,0.0295,2,-0.0737,0.0079,0.0112,2,-0.0366,0.1294,0.024,2,-0.0214,0.2667,0.0943,2,0.0158,0.0859,0.011,2,-0.0344,-0.03796666666666667
adaptability_signs|authenticity_markers|cognitive_patterns|identity_projection|message_effectiveness,0.7675,0.0542,2,0.0012,0.2835,0.1707,2,0.0725,0.4042,0.1002,2,0.0606,0.2298,0.1726,2,0.0604,0.0326,0.0461,2,-0.0235,0.0385,0.0544,2,-0.056,0.0283,0.04,2,-0.0162,0.1519,0.1162,2,0.0011,0.2089,0.0934,2,-0.042,0.1249,0.1114,2,0.0046,0.016699999999999996
adaptability_signs|authenticity_markers|cognitive_patterns|identity_projection|social_orientation,0.7587,0.0056,2,-0.0076,0.2389,0.1981,2,0.0279,0.2838,0.235,2,-0.0598,0.2062,0.1712,2,0.0368,0.0753,0.1064,2,0.0192,0.0897,0.1269,2,-0.0048,0.0648,0.0917,2,0.0203,0.1528,0.1114,2,0.002,0.1816,0.1321,2,-0.0693,0.1319,0.0963,2,0.0116,0.016366666666666668
adaptability_signs|authenticity_markers|cognitive_patterns|identity_projection|vocabulary_range,0.7199,0.0541,2,-0.0464,0.2064,0.1195,2,-0.0046,0.4167,0.3536,2,0.0731,0.1411,0.0636,2,-0.0283,0.0502,0.0357,2,-0.0059,0.1082,0.1042,2,0.0137,0.0336,0.0198,2,-0.0109,0.1215,0.0339,2,-0.0293,0.2333,0.1414,2,-0.0176,0.085,0.0114,2,-0.0353,-0.013266666666666668
adaptability_signs|authenticity_markers|cognitive_patterns|language_formality|message_effectiveness,0.7125,0.0903,4,-0.0538,0.211,0.1041,4,0.0,0.3329,0.1054,4,-0.0107,0.1602,0.0933,4,-0.0092,0.0641,0.0461,4,0.008,0.1222,0.0969,4,0.0277,0.045,0.032,4,0.0005,0.1407,0.0817,4,-0.0101,0.2316,0.1119,4,-0.0193,0.105,0.0685,4,-0.0153,-0.0006999999999999998
adaptability_signs|authenticity_markers|cognitive_patterns|message_effectiveness|social_orientation,0.7641,0.0404,2,-0.0022,0.1655,0.1774,2,-0.0455,0.4636,0.3728,2,0.12,0.102,0.1129,2,-0.0674,0.0377,0.0534,2,-0.0184,0.1,0.1414,2,0.0055,0.0233,0.0329,2,-0.0212,0.1291,0.126,2,-0.0217,0.3727,0.2443,2,0.1218,0.0793,0.0807,2,-0.041,-0.02853333333333333
adaptability_signs|authenticity_markers|cognitive_patterns|narrative_voice|opinion_expression,0.6633,0.0236,2,-0.103,0.1228,0.1241,2,-0.0882,0.2385,0.2284,2,-0.1051,0.0828,0.0849,2,-0.0866,0.0727,0.1029,2,0.0166,0.1429,0.202,2,0.0484,0.0488,0.069,2,0.0043,0.0702,0.0496,2,-0.0806,0.1385,0.087,2,-0.1124,0.0471,0.0344,2,-0.0732,-0.05073333333333333
adaptability_signs|authenticity_markers|cognitive_patterns|narrative_voice|value_signals,0.7599,0.0997,4,-0.0064,0.1134,0.074,4,-0.0976,0.2116,0.0904,4,-0.132,0.0837,0.0667,4,-0.0857,0.0,0.0,4,-0.0561,0.0,0.0,4,-0.0945,0.0,0.0,4,-0.0445,0.094,0.0529,4,-0.0568,0.1889,0.0964,4,-0.062,0.0668,0.0415,4,-0.0535,-0.07016666666666667
