combination,frequency,percentage
community_role|narrative_voice|punctuation_style|social_orientation|value_signals,4,0.05
conflict_approach|controversy_handling|general_decription|message_effectiveness|opinion_expression,4,0.05
brevity_style|controversy_handling|narrative_voice|stress_indicators|vocabulary_range,4,0.05
cognitive_patterns|language_formality|opinion_expression|social_orientation|stress_indicators,4,0.05
authenticity_markers|belief_expression|message_effectiveness|reaction_patterns|stress_indicators,4,0.05
emotional_expression|general_decription|identity_projection|punctuation_style|social_orientation,4,0.05
community_role|controversy_handling|identity_projection|punctuation_style|reaction_patterns,4,0.05
controversy_handling|emotional_expression|message_effectiveness|narrative_voice|punctuation_style,4,0.05
authenticity_markers|language_formality|opinion_expression|reaction_patterns|value_signals,4,0.05
authenticity_markers|belief_expression|cognitive_patterns|emotional_expression|reaction_patterns,4,0.05
adaptability_signs|identity_projection|language_formality|message_effectiveness|vocabulary_range,4,0.05
authenticity_markers|controversy_handling|emotional_expression|language_formality|stress_indicators,4,0.05
cognitive_patterns|controversy_handling|social_orientation|stress_indicators|value_signals,4,0.05
adaptability_signs|language_formality|punctuation_style|reaction_patterns|vocabulary_range,4,0.05
authenticity_markers|belief_expression|content_triggers|social_orientation|value_signals,4,0.05
conflict_approach|message_effectiveness|reaction_patterns|social_orientation|value_signals,4,0.05
brevity_style|conflict_approach|emotional_expression|opinion_expression|reaction_patterns,4,0.05
community_role|conflict_approach|emotional_expression|reaction_patterns|stress_indicators,4,0.05
adaptability_signs|language_formality|social_orientation|value_signals|vocabulary_range,4,0.05
brevity_style|cognitive_patterns|controversy_handling|punctuation_style|social_orientation,4,0.05
authenticity_markers|controversy_handling|general_decription|social_orientation|vocabulary_range,4,0.05
community_role|conflict_approach|content_triggers|language_formality|reaction_patterns,4,0.05
adaptability_signs|controversy_handling|narrative_voice|opinion_expression|vocabulary_range,4,0.05
adaptability_signs|controversy_handling|message_effectiveness|opinion_expression|vocabulary_range,4,0.05
adaptability_signs|authenticity_markers|narrative_voice|punctuation_style|stress_indicators,4,0.05
authenticity_markers|brevity_style|content_triggers|language_formality|value_signals,4,0.05
community_role|controversy_handling|language_formality|opinion_expression|punctuation_style,4,0.05
identity_projection|language_formality|message_effectiveness|stress_indicators|value_signals,4,0.05
adaptability_signs|controversy_handling|message_effectiveness|opinion_expression|social_orientation,4,0.05
belief_expression|general_decription|narrative_voice|stress_indicators|vocabulary_range,4,0.05
cognitive_patterns|language_formality|message_effectiveness|narrative_voice|value_signals,4,0.05
cognitive_patterns|language_formality|message_effectiveness|punctuation_style|stress_indicators,4,0.05
authenticity_markers|content_triggers|language_formality|social_orientation|value_signals,4,0.05
controversy_handling|identity_projection|message_effectiveness|opinion_expression|vocabulary_range,4,0.05
authenticity_markers|brevity_style|opinion_expression|social_orientation|stress_indicators,4,0.05
adaptability_signs|brevity_style|social_orientation|stress_indicators|vocabulary_range,4,0.05
cognitive_patterns|conflict_approach|language_formality|reaction_patterns|value_signals,4,0.05
authenticity_markers|cognitive_patterns|opinion_expression|reaction_patterns|value_signals,4,0.05
adaptability_signs|cognitive_patterns|general_decription|language_formality|stress_indicators,4,0.05
general_decription|identity_projection|social_orientation|value_signals|vocabulary_range,4,0.05
adaptability_signs|authenticity_markers|community_role|conflict_approach|controversy_handling,4,0.05
conflict_approach|identity_projection|punctuation_style|reaction_patterns|vocabulary_range,4,0.05
adaptability_signs|brevity_style|community_role|emotional_expression|punctuation_style,4,0.05
emotional_expression|general_decription|reaction_patterns|social_orientation|value_signals,4,0.05
adaptability_signs|content_triggers|stress_indicators|value_signals|vocabulary_range,4,0.05
adaptability_signs|community_role|conflict_approach|language_formality|narrative_voice,4,0.05
authenticity_markers|cognitive_patterns|controversy_handling|message_effectiveness|punctuation_style,4,0.05
authenticity_markers|belief_expression|conflict_approach|narrative_voice|stress_indicators,4,0.05
adaptability_signs|authenticity_markers|emotional_expression|identity_projection|reaction_patterns,4,0.05
brevity_style|controversy_handling|language_formality|message_effectiveness|value_signals,4,0.05
cognitive_patterns|language_formality|punctuation_style|reaction_patterns|vocabulary_range,4,0.05
authenticity_markers|community_role|language_formality|opinion_expression|punctuation_style,4,0.05
brevity_style|conflict_approach|general_decription|social_orientation|vocabulary_range,4,0.05
authenticity_markers|brevity_style|cognitive_patterns|controversy_handling|vocabulary_range,4,0.05
conflict_approach|identity_projection|opinion_expression|social_orientation|value_signals,4,0.05
conflict_approach|emotional_expression|identity_projection|narrative_voice|punctuation_style,4,0.05
identity_projection|language_formality|punctuation_style|value_signals|vocabulary_range,4,0.05
authenticity_markers|conflict_approach|controversy_handling|social_orientation|value_signals,4,0.05
brevity_style|cognitive_patterns|community_role|general_decription|social_orientation,4,0.05
emotional_expression|general_decription|punctuation_style|stress_indicators|value_signals,4,0.05
adaptability_signs|belief_expression|community_role|reaction_patterns|social_orientation,4,0.05
belief_expression|emotional_expression|message_effectiveness|narrative_voice|value_signals,4,0.05
conflict_approach|controversy_handling|emotional_expression|reaction_patterns|social_orientation,4,0.05
adaptability_signs|authenticity_markers|cognitive_patterns|emotional_expression|vocabulary_range,4,0.05
adaptability_signs|belief_expression|content_triggers|message_effectiveness|reaction_patterns,4,0.05
community_role|identity_projection|language_formality|message_effectiveness|social_orientation,4,0.05
authenticity_markers|brevity_style|cognitive_patterns|general_decription|vocabulary_range,4,0.05
belief_expression|conflict_approach|general_decription|identity_projection|reaction_patterns,4,0.05
brevity_style|identity_projection|narrative_voice|punctuation_style|social_orientation,4,0.05
controversy_handling|emotional_expression|general_decription|narrative_voice|punctuation_style,4,0.05
adaptability_signs|content_triggers|controversy_handling|message_effectiveness|stress_indicators,4,0.05
authenticity_markers|cognitive_patterns|content_triggers|general_decription|social_orientation,4,0.05
adaptability_signs|cognitive_patterns|conflict_approach|controversy_handling|stress_indicators,4,0.05
content_triggers|emotional_expression|general_decription|reaction_patterns|vocabulary_range,4,0.05
cognitive_patterns|message_effectiveness|narrative_voice|opinion_expression|value_signals,4,0.05
cognitive_patterns|general_decription|narrative_voice|social_orientation|vocabulary_range,4,0.05
brevity_style|content_triggers|language_formality|message_effectiveness|reaction_patterns,4,0.05
brevity_style|content_triggers|emotional_expression|narrative_voice|vocabulary_range,4,0.05
cognitive_patterns|community_role|identity_projection|message_effectiveness|punctuation_style,4,0.05
adaptability_signs|content_triggers|message_effectiveness|social_orientation|vocabulary_range,4,0.05
brevity_style|cognitive_patterns|message_effectiveness|narrative_voice|stress_indicators,4,0.05
brevity_style|conflict_approach|opinion_expression|stress_indicators|vocabulary_range,4,0.05
authenticity_markers|cognitive_patterns|content_triggers|emotional_expression|opinion_expression,4,0.05
belief_expression|brevity_style|language_formality|punctuation_style|value_signals,4,0.05
conflict_approach|content_triggers|controversy_handling|message_effectiveness|reaction_patterns,4,0.05
brevity_style|cognitive_patterns|general_decription|narrative_voice|opinion_expression,4,0.05
adaptability_signs|authenticity_markers|cognitive_patterns|narrative_voice|value_signals,4,0.05
authenticity_markers|brevity_style|content_triggers|reaction_patterns|vocabulary_range,4,0.05
adaptability_signs|community_role|message_effectiveness|punctuation_style|social_orientation,4,0.05
authenticity_markers|opinion_expression|social_orientation|stress_indicators|vocabulary_range,4,0.05
authenticity_markers|cognitive_patterns|community_role|message_effectiveness|social_orientation,4,0.05
belief_expression|controversy_handling|message_effectiveness|narrative_voice|value_signals,4,0.05
brevity_style|community_role|controversy_handling|emotional_expression|identity_projection,4,0.05
brevity_style|cognitive_patterns|community_role|emotional_expression|stress_indicators,4,0.05
adaptability_signs|belief_expression|conflict_approach|general_decription|vocabulary_range,4,0.05
cognitive_patterns|emotional_expression|identity_projection|opinion_expression|vocabulary_range,4,0.05
belief_expression|cognitive_patterns|controversy_handling|punctuation_style|stress_indicators,4,0.05
cognitive_patterns|community_role|language_formality|punctuation_style|value_signals,4,0.05
adaptability_signs|brevity_style|content_triggers|emotional_expression|language_formality,4,0.05
conflict_approach|language_formality|narrative_voice|punctuation_style|vocabulary_range,4,0.05
authenticity_markers|emotional_expression|identity_projection|message_effectiveness|reaction_patterns,4,0.05
belief_expression|controversy_handling|emotional_expression|message_effectiveness|opinion_expression,4,0.05
cognitive_patterns|conflict_approach|content_triggers|general_decription|language_formality,4,0.05
conflict_approach|emotional_expression|language_formality|social_orientation|vocabulary_range,4,0.05
adaptability_signs|brevity_style|controversy_handling|language_formality|narrative_voice,4,0.05
adaptability_signs|emotional_expression|narrative_voice|punctuation_style|reaction_patterns,4,0.05
identity_projection|opinion_expression|reaction_patterns|social_orientation|vocabulary_range,4,0.05
brevity_style|message_effectiveness|opinion_expression|punctuation_style|value_signals,4,0.05
belief_expression|cognitive_patterns|message_effectiveness|opinion_expression|stress_indicators,2,0.02
belief_expression|cognitive_patterns|language_formality|opinion_expression|social_orientation,2,0.02
authenticity_markers|conflict_approach|controversy_handling|language_formality|value_signals,2,0.02
authenticity_markers|belief_expression|brevity_style|conflict_approach|general_decription,2,0.02
adaptability_signs|brevity_style|language_formality|narrative_voice|social_orientation,2,0.02
adaptability_signs|belief_expression|controversy_handling|identity_projection|opinion_expression,2,0.02
cognitive_patterns|language_formality|opinion_expression|punctuation_style|stress_indicators,2,0.02
community_role|conflict_approach|identity_projection|message_effectiveness|vocabulary_range,2,0.02
adaptability_signs|message_effectiveness|opinion_expression|punctuation_style|social_orientation,2,0.02
belief_expression|brevity_style|conflict_approach|content_triggers|general_decription,2,0.02
adaptability_signs|authenticity_markers|general_decription|narrative_voice|stress_indicators,2,0.02
cognitive_patterns|controversy_handling|opinion_expression|social_orientation|stress_indicators,2,0.02
adaptability_signs|cognitive_patterns|community_role|narrative_voice|punctuation_style,2,0.02
adaptability_signs|brevity_style|emotional_expression|opinion_expression|punctuation_style,2,0.02
adaptability_signs|belief_expression|community_role|language_formality|opinion_expression,2,0.02
cognitive_patterns|conflict_approach|content_triggers|message_effectiveness|narrative_voice,2,0.02
belief_expression|controversy_handling|message_effectiveness|stress_indicators|vocabulary_range,2,0.02
adaptability_signs|belief_expression|opinion_expression|punctuation_style|reaction_patterns,2,0.02
authenticity_markers|brevity_style|controversy_handling|value_signals|vocabulary_range,2,0.02
adaptability_signs|authenticity_markers|content_triggers|message_effectiveness|social_orientation,2,0.02
adaptability_signs|conflict_approach|content_triggers|narrative_voice|punctuation_style,2,0.02
adaptability_signs|belief_expression|cognitive_patterns|emotional_expression|value_signals,2,0.02
authenticity_markers|belief_expression|narrative_voice|opinion_expression|punctuation_style,2,0.02
authenticity_markers|brevity_style|conflict_approach|controversy_handling|value_signals,2,0.02
authenticity_markers|brevity_style|emotional_expression|social_orientation|stress_indicators,2,0.02
adaptability_signs|authenticity_markers|conflict_approach|controversy_handling|language_formality,2,0.02
community_role|conflict_approach|emotional_expression|general_decription|message_effectiveness,2,0.02
adaptability_signs|belief_expression|cognitive_patterns|conflict_approach|opinion_expression,2,0.02
cognitive_patterns|content_triggers|language_formality|social_orientation|stress_indicators,2,0.02
belief_expression|conflict_approach|general_decription|punctuation_style|value_signals,2,0.02
adaptability_signs|belief_expression|content_triggers|general_decription|opinion_expression,2,0.02
authenticity_markers|conflict_approach|content_triggers|identity_projection|value_signals,2,0.02
community_role|general_decription|identity_projection|language_formality|reaction_patterns,2,0.02
content_triggers|emotional_expression|message_effectiveness|punctuation_style|value_signals,2,0.02
brevity_style|community_role|conflict_approach|social_orientation|stress_indicators,2,0.02
belief_expression|controversy_handling|emotional_expression|general_decription|stress_indicators,2,0.02
belief_expression|community_role|controversy_handling|message_effectiveness|social_orientation,2,0.02
authenticity_markers|belief_expression|community_role|reaction_patterns|vocabulary_range,2,0.02
brevity_style|community_role|general_decription|narrative_voice|vocabulary_range,2,0.02
community_role|conflict_approach|emotional_expression|language_formality|vocabulary_range,2,0.02
authenticity_markers|content_triggers|controversy_handling|emotional_expression|identity_projection,2,0.02
controversy_handling|opinion_expression|social_orientation|stress_indicators|vocabulary_range,2,0.02
controversy_handling|message_effectiveness|reaction_patterns|social_orientation|stress_indicators,2,0.02
cognitive_patterns|general_decription|language_formality|social_orientation|stress_indicators,2,0.02
brevity_style|cognitive_patterns|conflict_approach|language_formality|message_effectiveness,2,0.02
authenticity_markers|punctuation_style|social_orientation|value_signals|vocabulary_range,2,0.02
conflict_approach|identity_projection|message_effectiveness|reaction_patterns|value_signals,2,0.02
adaptability_signs|belief_expression|emotional_expression|general_decription|opinion_expression,2,0.02
brevity_style|community_role|language_formality|social_orientation|stress_indicators,2,0.02
cognitive_patterns|general_decription|language_formality|punctuation_style|reaction_patterns,2,0.02
belief_expression|community_role|general_decription|identity_projection|message_effectiveness,2,0.02
cognitive_patterns|conflict_approach|general_decription|message_effectiveness|social_orientation,2,0.02
belief_expression|content_triggers|controversy_handling|general_decription|social_orientation,2,0.02
cognitive_patterns|punctuation_style|reaction_patterns|value_signals|vocabulary_range,2,0.02
belief_expression|brevity_style|controversy_handling|narrative_voice|reaction_patterns,2,0.02
community_role|emotional_expression|message_effectiveness|stress_indicators|value_signals,2,0.02
authenticity_markers|belief_expression|community_role|emotional_expression|social_orientation,2,0.02
belief_expression|conflict_approach|message_effectiveness|opinion_expression|reaction_patterns,2,0.02
adaptability_signs|brevity_style|emotional_expression|language_formality|vocabulary_range,2,0.02
brevity_style|community_role|message_effectiveness|narrative_voice|opinion_expression,2,0.02
emotional_expression|identity_projection|message_effectiveness|reaction_patterns|social_orientation,2,0.02
adaptability_signs|community_role|general_decription|identity_projection|value_signals,2,0.02
conflict_approach|controversy_handling|narrative_voice|social_orientation|vocabulary_range,2,0.02
cognitive_patterns|community_role|message_effectiveness|punctuation_style|reaction_patterns,2,0.02
adaptability_signs|authenticity_markers|language_formality|message_effectiveness|narrative_voice,2,0.02
